POS	lemma	word
IN	about	About
NNS	book	Books
NNS	author	Authors
NN	blog	Blog
NNS	event	Events
NN	login	Login
NN	sign	Sign
IN	in	in
NN	email	Email
NN	password	Password
VBD	forget	Forgot
PRP$	you	your
NN	password	password
NNP	Don	Don
NN	t	t
VBP	have	have
DT	a	an
NN	account	account
NN	sign	Sign
RB	up	up
RB	here	here
IN	for	for
NNS	discount	discounts
CC	and	and
JJR	quicker	quicker
NN	purchasing	purchasing
VBP	subscribe	Subscribe
TO	to	to
PRP$	we	our
NN	newsletter	newsletter
NN	email	Email
NN	image	image
NNS	graph	Graphs
VBZ	map	maps
NNS	tree	trees
JJ	1050st	1050st
NN	image	image
CD	9781844671854	9781844671854
NN	frontcover	frontcover
NNS	graph	Graphs
VBZ	map	Maps
NNS	tree	Trees
JJ	abstract	Abstract
NNS	model	Models
IN	for	for
JJ	literary	Literary
NN	history	History
IN	by	by
NNP	Franco	Franco
NNP	Moretti	Moretti
NNP	Afterword	Afterword
IN	by	by
NNP	Alberto	Alberto
NNP	Piazza	Piazza
CD	1	1
CD	0	0
NN	paperback	Paperback
NN	paperback	Paperback
CD	19	19
CD	95	95
CD	13	13
CD	9630	9630
IN	off	off
CD	119	119
NNS	page	pages
NNP	September	September
CD	2007 978184467	2007 978184467
CD	1854	1854
NN	hardback	Hardback
NN	hardback	Hardback
CD	26	26
CD	00	00
CD	119	119
NNS	page	pages
NNP	July	July
CD	2005 978184467	2005 978184467
CD	0260	0260
RB	not	Not
IN	in	in
NN	stock	stock
WRB	where	Where
TO	to	to
VB	buy	buy
NNP	Amazon	Amazon
NNP	Barnes	Barnes
NN	amp	amp
JJ	noble	Noble
JJ	indiebound	IndieBound
NNP	Powell	Powell
VBZ	be	s
DT	the	The
JJ	great	great
NN	iconoclast	iconoclast
IN	of	of
JJ	literary	literary
NN	criticism	criticism
VBZ	reinvent	reinvents
DT	the	the
NN	study	study
IN	of	of
DT	the	the
NN	novel	novel
IN	in	In
DT	this	this
JJ	groundbreaking	groundbreaking
NN	book	book
NNP	Franco	Franco
NNP	Moretti	Moretti
VBZ	argue	argues
IN	that	that
NN	literature	literature
NNS	scholar	scholars
MD	should	should
VB	stop	stop
VBG	read	reading
NNS	book	books
CC	and	and
VB	start	start
VBG	count	counting
NN	graphing	graphing
CC	and	and
VBG	map	mapping
PRP	they	them
RB	instead	instead
IN	in	In
NN	place	place
IN	of	of
DT	the	the
RB	traditionally	traditionally
JJ	selective	selective
JJ	literary	literary
NN	canon	canon
IN	of	of
DT	a	a
JJ	few	few
CD	hundred	hundred
NNS	text	texts
NNP	Moretti	Moretti
VBZ	offer	offers
NNS	chart	charts
NNS	map	maps
CC	and	and
NN	time	time
NNS	line	lines
VBG	develop	developing
DT	the	the
NN	idea	idea
IN	of	of
JJ	distant	distant
NN	reading	reading
IN	into	into
DT	a	a
JJ	full	full
VBN	blow	blown
NN	experiment	experiment
IN	in	in
JJ	literary	literary
NN	historiography	historiography
IN	in	in
WDT	which	which
DT	the	the
NNP	canon	canon
VBZ	disappear	disappears
IN	into	into
DT	the	the
JJR	larger	larger
JJ	literary	literary
NN	system	system
VBG	chart	Charting
JJ	entire	entire
NNS	genre	genres
DT	the	the
JJ	epistolary	epistolary
DT	the	the
JJ	gothic	gothic
CC	and	and
DT	the	the
JJ	historical	historical
NN	novel	novel
RB	as	as
RB	well	well
IN	as	as
DT	the	the
JJ	literary	literary
NN	output	output
IN	of	of
NNS	country	countries
JJ	such	such
IN	as	as
NNP	Japan	Japan
NNP	Italy	Italy
NNP	Spain	Spain
CC	and	and
NNP	Nigeria	Nigeria
PRP	he	he
VBZ	show	shows
WRB	how	how
JJ	literary	literary
NN	history	history
VBZ	look	looks
RB	significantly	significantly
JJ	different	different
IN	from	from
WP	what	what
VBZ	be	is
RB	commonly	commonly
VBN	suppose	supposed
CC	and	and
WRB	how	how
DT	the	the
NN	concept	concept
IN	of	of
JJ	aesthetic	aesthetic
NN	form	form
MD	can	can
VB	be	be
RB	radically	radically
VBD	redefine	redefined
NNS	review	Reviews
PRP	it	It
VBZ	be	s
DT	a	a
JJ	rare	rare
JJ	literary	literary
NN	critic	critic
WP	who	who
VBZ	attract	attracts
RB	so	so
JJ	much	much
JJ	public	public
NN	attention	attention
CC	and	and
EX	there	there
VBZ	be	s
DT	a	a
JJ	good	good
NN	reason	reason
JJ	few	few
VBP	be	are
IN	as	as
NN	hell	hell
NN	bent	bent
IN	on	on
VBG	rethink	rethinking
DT	the	the
NN	way	way
PRP	we	we
VBP	talk	talk
IN	about	about
NN	literature	literature
NNS	time	Times
JJ	literary	Literary
NN	supplement	Supplement
DT	the	The
JJ	great	great
NN	iconoclast	iconoclast
IN	of	of
JJ	literary	literary
NN	criticism	criticism
NN	moretti	Moretti
NNS	s	s
NN	discourse	discourse
IN	as	as
VBZ	have	has
RB	often	often
VBN	be	been
VBN	note	noted
VBZ	be	is
VBN	mark	marked
IN	by	by
DT	the	the
JJ	same	same
NN	subtlety	subtlety
CC	and	and
NN	unpredictability	unpredictability
IN	as	as
PRP$	he	his
JJ	fellow	fellow
JJ	italian	Italian
NNP	Umberto	Umberto
NNP	Eco	Eco
NNP	Guardian	Guardian
NNP	Mr	Mr
NNP	Moretti	Moretti
VBZ	make	makes
PRP$	he	his
RBS	most	most
JJ	forceful	forceful
NN	case	case
RB	yet	yet
IN	for	for
PRP$	he	his
NN	approach	approach
DT	a	a
JJ	heretical	heretical
VB	blend	blend
IN	of	of
JJ	quantitative	quantitative
NN	history	history
NN	geography	geography
CC	and	and
JJ	evolutionary	evolutionary
NN	theory	theory
NNP	New	New
NNP	York	York
NNP	Times	Times
JJ	related	Related
NN	blog	blog
NNS	post	posts
NNP	Mike	Mike
NN	watson24	Watson24
NNP	March	March
CD	2015	2015
NNS	comment	comments
NN	image	image
NN	new_left_review_92	New_left_review_92
CD	9759439426fa4c012dc2a4e20299c411	9759439426fa4c012dc2a4e20299c411
JJ	new	New
JJ	left	Left
NN	review	Review
NN	issue	Issue
CD	92	92
RB	out	out
RB	now	now
JJ	maya	Maya
NN	osborne03	Osborne03
NNP	February	February
CD	2015	2015
NNS	comment	comments
NN	image	image
NN	nlr91cover	Nlr91cover
NN	b01959efb7247ba4eddc79057780ecb5	b01959efb7247ba4eddc79057780ecb5
JJ	new	New
JJ	left	Left
NN	review	Review
NN	gt	gt
NN	issue	Issue
CD	91	91
IN	out	out
RB	now	now
NN	clement	Clement
NN	petitjean10	Petitjean10
NNP	January	January
